ТАБЛИЦА РАСПАКОВКИ;;;;;;;;;;;;;;;;;;;;;;;;;
Вопрос;Ответ;Посыл для людей;;;;;;;;;;;;;;;;;;;;;;;
Прошлое;;;;;;;;;;;;;;;;;;;;;;;;;
Кем мечтали стать в детстве? Что хорошо получается с детства?;В детстве я всегда был средненьким во всем – худой, щуплый? Средний в общем и целом? Но мне всегда хотелось большего! С самого детства хотелось стать круче и заметнее физически. Именно поэтому с 12 лет я начал посещать тренажёрный зал, к старшим классам удалось создать приемлимые вариант физического воплощения. Но этим мои желания не ограничивались, все равно хотелось быть на виду, хотелось заниматься чем-то серьёзным.  Тогда я начал много читать книги , и в этот момент захотелось свой бизнес. Мне хотелось многое узнать, в том числе и как люди делали огромное состояние.  Хотелось поехать в Америку, но профессии, как выбора – не было. У меня была огромная потребность исследовать и открывать для себя новы мир. По сути я уже тогда избрал себе дорогу путешественника, открывателя и исследователя.  ;"Транслирование становление личности от незаурядного обычного мальчика, который сам не знал, чего хотел, но хотел делать что-то масштабное и крутое. 3 различных сторителла, вытекающих из данной тематики:  
1. Сторителл про школьное время, отношения с друзьями, соперниками. Развитие темы дружбы, соревновательного аспекта. Почему так со мной происходило? Каким я человеком был? Как я мыслил? Что было для меня важно? Почему мне нравилось выступать на сцене в школе/университете? Как я добился своей цели и поехал по программе work-and-travel?
2. Рассказ о физическом становлении лучше - спортзал, книги, выступления на сцене. Таким образом мы проходим путь становления личности от школьного периода и до университета

Примеры транслирования: 
фото из детства и из поездок, рассказы о жизни в Лондоне и показ того, как случались первые прикосновения с другим миром ""люкса"", путь достижения с помощью книг и историй, которые помогали в период становления и формирования. Берём рубрику и 2 раза в неделю рассказываем о 2 вышеперечисленных пунктах.  ";;;;;;;;;;;;;;;;;;;;;;;
Места работы и что больше всего нравилось делать? ;"Johnson&Johnson, L'or?al, люксовые холдинги часов.  
Для меня всегда был важен продукт. Важно, чтобы я чувствовал в нем смысл, важно, чтобы я ощущал гордость за продукт, который реализовывал. Нравилось знакомиться с крутыми людьми, учиться строить свой бизнес на примере огромных компаний.  ";"1) Огромный бэкграунд работы в Johnson&Johnson L'or?al, можем успешно показать опыт работы в масштабных проектов, как строилась их компания, насколько сильно ты вырос со времён, когда только пришёл в эту компанию, а затем постепенно что менялось, как это влияло на мышление, куда хотелось двигаться и почему случилось так, что однажды этих компаний стало мало. Процесс роста из одного человека в другого 
 
Примеры транслирование:
1. Работал в крутой компании - большой опыт и крупный проект = экспертность
2.  Знаю, как работать в огромной компании с устоявшимися ценностями = понимаю, как вести бизнес с разных сторон  
3. Сначала всегда смотрел на богатых, успешных людей снизу-вверх = точка А - точка Б и мой путь к этой точке, как я этого добился, что думал в процессе, чем себя мотивировал (ХОТЕЛОСЬ ЛЮКСА КАК И 90% ЛЮДЕЙ)
4. Я никогда не стоял на месте, делая маленький шаг я уже перебарывал себя: заходил в бутики и дорогие магазины, повышал насмотрелось, общался с успешными людьми, а впоследствие и работал на них, а затем и просто с ними. Всегда придерживался метода проб и ошибок. А потом рассказывал о своём опыте окружающим, я не учился на ошибках других, но могу предотвратить ваши. ";;;;;;;;;;;;;;;;;;;;;;;
Когда и почему эта тема начала интересовать?;Много приглашали в маркетинг по знакомствам и рекомендациям, знали, как прекрасного специалиста. Так пригласили однажды в люксовый холдинг часов с офисом в Москве-Сити. Там как раз и чувствовалась та самая высота полета мысли, масштаб проекта, огромная статистика. Очень захотел работать там, проходил собеседования раз в месяц на протяжении 3-4 месяцев. Мне хотелось прикоснуться к этому миру больших людей. После того, как я реально загорелся идеей работать в этой компании, я обошёл множество салонов и бутиков с часами, где мне было ужасно некомфортно от того, насколько огромных денег стоили часы. Я почувствовал люкс, роскошь на себе. Думаю, что только после этого я искренне начал интересоваться этой сферой деятельности.  ;"
Доносим ценности работы с вами. Для меня не важно ""лишь бы продать"", ""лишь бы у меня купили"". Я не втюхиваю, а постепенно рассказываю о своём ценном продукте, выделяю самые нужные детали для покупки лучшего. Моя цель облегчить вам выбор, подсказать лучшее и ваша комфортная покупка.  
Поскольку мне самому хотелось потрогать тот самый ""люкс"",  я понимаю то, как иногда хочется другой жизни, в которой есть роскошь, успех и дорогие вещи. Я могу помочь вам прикоснуться к нему и сделать так, чтобы и вы поняли, что это не так сложно, как кажется.
Коммуникация - самый важный человеческий ресурс. Зачем я покупаю курсы? Зачем я стараюсь общаться  с людьми, которые лучше меня? - Я сам хочу стать лучше. 

Примеры транслирования:
1. Упор на точку А и точку Б, как я стал чувствовать себя комфортнее среди людей, которые в десятки и сотни раз богаче меня, почему это круто находиться в таком обществе.
2. Множество встреч с людьми по работе, на тренингах и различных курсах и встречах. Показывать и то, чем эти люди живут, чтобы зритель прочувствовал - как это круто - общение с крутыми людьми.
3. Собственная работа, проекты, люксовые места - здесь важность чувствовать ценность и смысл своего продукта. У моего продукта есть личность, он не белый и не шаблонный. Я произвожу качество. 
4.  Учиться у лучших. Я учусь у лучших людей за большие деньги = я уже что-то знаю, я могу помочь.   ";;;;;;;;;;;;;;;;;;;;;;;
Когда была последняя капля?;В 2017 начало что-то беспокоить, что что-то не то, вроде и все хорошо - работа, социальный статус, но свербить начало. Снова начал заниматься духовным поиском.  Тут со мной случился Тони Роббинса. Я попал в невероятное сообщество. ВЗЯЛ И ПОЗВОЛИЛ СЕБЕ. Поехал в Лондон на тренинг на неделю. За эти дни произошло что-то такое, что изменило мое понимание жизни. Ходил по углям и многое осознал, познакомился с множеством интересных людей. Я, по сути, потерял в брайтнинге. Я завис в болоте, хоть и покупал хорошие вещи, вкусно ел, в целом жил хорошо, но я дорос ДО СВОЕГО ПОТОЛКА в этой компании. ПОПРАВИЛСЯ. На тренинге первое, что вынес – за месяц скинул 12кг, пришёл в форму, изменив пищевые привычки, поэкспериментировал с едой и начал бегать.;"Трансляция моего развития не только со стороны физического, но и всестороннего засчет курсов, программ, тренингов. Постоянная трансляция встреч и переговоров. Новые люди = новый интерес у зрителя. Рассказ о том самом тумблере, когда что-то переключилось
1) Как я изменился после тренингов?
2) Зачем я изменился? Для чего мне это было нужно?
3) Как это повлияло на мое последующее мышление? 
4) Что после этого сделал?
5) Какие именно слова и действия на меня так повлияли?
6) Почему обучение - это важно и что дало мне каждое обучение?";;;;;;;;;;;;;;;;;;;;;;;
Как отразилось на состоянии? ;"У меня в это время появилось ощущение, что:
Я ВСЕ МОГУ. ЗА КАКОЕ БЫ ДЕЛО Я НЕ БРАЛСЯ - ОНО ПОЛУЧАЕТСЯ
Меня невероятно изменила тусовка Тони Роббинса и комьюнити очень контактных богатых людей. И с тех пор я начал искать свое комьюнити. После этой программы выписывался еще в множество других прекрасных программ и лекций. Мне все это время нужна была встряска. Сначала эту встряску мне устроил Тони, а затем и проект  ""Бизнес-молодость"". Там я за 3 месяца смог заработать 2 миллиона.  ";"НЕВОЗМОЖНОГО НЕ СУЩЕСТВУЕТ, БЫВАЕТ ТОЛЬКО НЕДОСТАТОК МОТИВАЦИИ И УСИЛИЙ - эта мысль как кредо! Нужно протянуть ее сквозь весь блог, т.к. у множества людей просто не хватает мотивации.  
1. Донесение мысли, что комьюнити и команда - невероятная сила и поддержка в любом вашем начинании.
2. Мотивация людей - показ того, что можно получить, если попробовать. Я НИЧЕГО НЕ ПОТЕРЯЮ, ЕСЛИ ПОПРОБУЮ!
3. Куда пойти за такой же мотивацией, как сделать так, чтобы мне помогли, кто может направить в кризисной ситуации. ";;;;;;;;;;;;;;;;;;;;;;;
Что поменялось в жизни?;"1) Обрёл свободу в широком смысле: свободу выбора, свободу выбирать, как распоряжаться своим временем
2) Обрёл энергию, которая меня питает, мне очень нравится делать контент, выступать записывать, я выбираю быть причастным к подготовке сценарной части и выступлению. Мне нравится наблюдать за реакциями которые приходят от людей, реакция от движухи, которая происходит 
3) Ощущение изменилось. Мне кайфово и гармонично. я подтянул здоровье, форму и внутреннее наполнение. Личная жизнь замечательно. мне кайфово от того, что есть и множество планов на будущее";"Внедрение и проведение онлайн/оффлайн тренингов/лекций по поводу свободы выбора и распоряжения своим временем, о ценностях выбора профессии и о причастности к ведению своего дел. 
1. Наставничество 
2. Тантра и йога
3. Ведение дел в больших компаниях, сбор команды, важность комьюнити и его создание ";;;;;;;;;;;;;;;;;;;;;;;
при каких условиях задумались об этом;;;;;;;;;;;;;;;;;;;;;;;;;
20 достижений в работе и жизни;;;;;;;;;;;;;;;;;;;;;;;;;
Если уже продавали продукты в блоге: что продавалось лучше всего?;Блог в instagram/tik-tok еще не приносил никаких доходов, предварительно это лишь канал трафика для дальнейших потенциальных клиентов. Единственное, что в сети я успел затестить - Youtube - там была одна продажа. Что было очень неожиданно и приятно  ;Личность в блоге в инстаграм/в тик-токе. Разбавляем экспертный контент человеческой жизнью. Люди смотрят и покупают не у сухого эксперта, а у личности, которая их заинтересовала. Систематическая выкладка просто и историй с рассказами о прошлом и настоящем, трансляция внутренней кухни работы, разбавление всего контента юмором. ;;;;;;;;;;;;;;;;;;;;;;;
Настоящее и будущее;;;;;;;;;;;;;;;;;;;;;;;;;
20 вещей, которые вам нравится делать;;;;;;;;;;;;;;;;;;;;;;;;;
20 навыков и компетенций, которые развиваете и хотите развивать. Что активно изучаете, хотите изучать?;Хочется развиваться в ораторском искусстве и медийных выступлениях. Мне хочется учить и показывать людям то, что ценно для меня, я люблю задумку - быть наставником, советником и помощником. Я уже могу считаться экспертом в сфере продаж и маркетинга, но сейчас больше хочу погрузиться во внутреннюю кухню социальных сетей. Мне нравится доставлять людям эмоции. ;"Для начала это выделение и структурирование тем для публичных выступлений. Чаще выступаем в инстаграм с прямыми эфирами, коллаборациями. Точки соприкосновения с целевой аудиторией найдутся, как только завоевать их доверие, раскручиваем личный бренд, наблюдаем за референтный группой своей ЦА в сети, делаем похожий контент. 
Затем выходим на мероприятия, в которых сначала сможем проявить себя как эксперта в нескольких сферах, а затем и проводим собственные мероприятия: мышление богатого человека, ведение дела в большой компании, выход из-под крыла работодателя, свобода! ";;;;;;;;;;;;;;;;;;;;;;;
О чем читали бы часами?;я очень люблю истории взлётов и падений разных людей. есть человек где начинает снизу всю историю. люблю истории успеха. люблю фильмы, книги;Трансляция своих интересов в блоге - неотъемлемая часть личности. Всегда есть люди, которые также заинтересованы в вещах, которые интересны тебе. Советы в выборе развивающего контента на своём примере. Свои книги в общество, советы, рекомендации  ;;;;;;;;;;;;;;;;;;;;;;;
Какой результат уже приносите клиентам?;;1. Скриншоты отзывов с эмоциональное подписью или подчеркивающей ключевые моменты 2. Сторителлинг о результате клиента 3. Сторителлинг + раскрытие ключевой идеи этого конкретного результата 4. Эмоциональное видео, где автор рассказывает о результате 5. Сторителлинг, подводящий к личному результату или результату продукта;;;;;;;;;;;;;;;;;;;;;;;
За чем к вам обращаются знакомые и друзья? С какими просьбами и за каким советом?;"1) Ощутимая категория людей, которые обращаются - это люди,  которые находятся в трудном положении и обращаются за встряской, за поддержкой,  за подсказкой в том, как преодолеть ментально и материально. занимаюсь благотворительностью. В регионах есть люди, которые я помогаю финансово. 
2) В личных соц.сетях часто задают вопросы по определённым темам,  делюсь техниками, лайфхаками, то что работает практика-визуализация, ритуалы.  ";"Примеры транслирования:
1. Рассказ и истории о людях, в жизни которых ты принял непосредственное участие, как помощник и наставник. 
2. Объяснение - зачем ты это делаешь, кому именно ты помогаешь, как пришёл к тому, что жертвовать людям крупные суммы - это нормально?
3. Переход из детства - точка А: мне было плохо и никто не помогал, только я сам могу помочь себе; точка Б - я помогаю, чтобы людям жилось легче
4. Моральная помощь - советы своим друзьям, подписчики и зрители - друзья. ";;;;;;;;;;;;;;;;;;;;;;;
Качества и навыки;;;;;;;;;;;;;;;;;;;;;;;;;
Качества (5 положительных качеств: какой вы?);"Есть такая штука, как личный контракт.  
- любящий
- ответственный 
- смелый мужчина
- адекватный
- открытый
- чувствительный (чувствующий)
- тактильный
- эмпатичный
- честный (держу слово)
- за взаимную выгоду с партнёрами/клиентами, 
- обязательный
- абциозный ";;;;;;;;;;;;;;;;;;;;;;;;
Что постоянно спрашивают в блоге подписчики? «Как ты это сделал?». «Это» — это что?;"В tik-tok - приятно удивило, что людей много чего интересует. Часто пишут комментарии в аккаунт с часам, но не особо спрашивают про личные истории. Больше людей интересует профессиональная сфера деятельности и технические вопросы: модель, бренд, цены и категории. Еще часто задают вопроса: ""Зачем часы, если телефон?"", ""Все это старьё"", ""За часами нет будущего!"" Ну, и конечно: ""Что у тебя с причёской?""
Помимо этого есть множество запросов на мое отношение к определённым брендам, странам изготовителей, просят рассказать про определённые категории и классы. ";"Примечание: ко всем людям отношусь с любовью и на негатив не отвечаю также. Меня невозможно обидеть, отношусь ко всему негативу и к себе в целом с иронией и юмором. 
 ";;;;;;;;;;;;;;;;;;;;;;;
